"TIME","GEO","UNIT","NA_ITEM","Value"
"2009","Netherlands","Current prices, euro per capita","Collective consumption expenditure of general government","3,400"
"2009","Netherlands","Current prices, units of national currency per capita","Gross domestic product at market prices","37,400"
"2009","Netherlands","Current prices, units of national currency per capita","Final consumption expenditure","26,800"
"2009","Netherlands","Current prices, units of national currency per capita","Final consumption expenditure of general government","9,900"
"2009","Netherlands","Current prices, units of national currency per capita","Individual consumption expenditure of general government","6,500"
"2009","Netherlands","Current prices, units of national currency per capita","Collective consumption expenditure of general government","3,400"
"2009","Netherlands","Current prices, PPS per capita","Gross domestic product at market prices","33,500"
"2009","Netherlands","Current prices, PPS per capita","Final consumption expenditure","24,000"
"2009","Netherlands","Current prices, PPS per capita","Final consumption expenditure of general government","8,900"
"2009","Netherlands","Current prices, PPS per capita","Individual consumption expenditure of general government","5,800"
"2009","Netherlands","Current prices, PPS per capita","Collective consumption expenditure of general government","3,000"
"2009","Netherlands","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","37,700"
"2009","Netherlands","Chain linked volumes (2010), euro per capita","Final consumption expenditure","27,100"
"2009","Netherlands","Chain linked volumes (2010), euro per capita","Final consumption expenditure of general government","10,000"
"2009","Netherlands","Chain linked volumes (2010), euro per capita","Individual consumption expenditure of general government","6,600"
"2009","Netherlands","Chain linked volumes (2010), euro per capita","Collective consumption expenditure of general government","3,400"
"2009","Netherlands","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices","99.1"
"2009","Netherlands","Chain linked volumes, Index 2010=100, per capita","Final consumption expenditure","100.1"
"2009","Netherlands","Chain linked volumes, Index 2010=100, per capita","Final consumption expenditure of general government","99.5"
"2009","Netherlands","Chain linked volumes, Index 2010=100, per capita","Individual consumption expenditure of general government","98.8"
"2009","Netherlands","Chain linked volumes, Index 2010=100, per capita","Collective consumption expenditure of general government","100.9"
"2009","Austria","Current prices, euro per capita","Gross domestic product at market prices","34,300"
"2009","Austria","Current prices, euro per capita","Final consumption expenditure","25,500"
"2009","Austria","Current prices, euro per capita","Final consumption expenditure of general government","7,100"
"2009","Austria","Current prices, euro per capita","Individual consumption expenditure of general government","4,300"
"2009","Austria","Current prices, euro per capita","Collective consumption expenditure of general government","2,700"
"2009","Austria","Current prices, units of national currency per capita","Gross domestic product at market prices","34,300"
"2009","Austria","Current prices, units of national currency per capita","Final consumption expenditure","25,500"
"2009","Austria","Current prices, units of national currency per capita","Final consumption expenditure of general government","7,100"
"2009","Austria","Current prices, units of national currency per capita","Individual consumption expenditure of general government","4,300"
"2009","Austria","Current prices, units of national currency per capita","Collective consumption expenditure of general government","2,700"
"2009","Austria","Current prices, PPS per capita","Gross domestic product at market prices","30,900"
"2009","Austria","Current prices, PPS per capita","Final consumption expenditure","23,000"
"2009","Austria","Current prices, PPS per capita","Final consumption expenditure of general government","6,400"
"2009","Austria","Current prices, PPS per capita","Individual consumption expenditure of general government","3,900"
"2009","Austria","Current prices, PPS per capita","Collective consumption expenditure of general government","2,500"
"2009","Austria","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","34,700"
"2009","Austria","Chain linked volumes (2010), euro per capita","Final consumption expenditure","26,000"
"2009","Austria","Chain linked volumes (2010), euro per capita","Final consumption expenditure of general government","7,200"
"2009","Austria","Chain linked volumes (2010), euro per capita","Individual consumption expenditure of general government","4,400"
"2009","Austria","Chain linked volumes (2010), euro per capita","Collective consumption expenditure of general government","2,800"
"2009","Austria","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices","98.3"
"2009","Austria","Chain linked volumes, Index 2010=100, per capita","Final consumption expenditure","99.5"
"2009","Austria","Chain linked volumes, Index 2010=100, per capita","Final consumption expenditure of general government","100.1"
"2009","Austria","Chain linked volumes, Index 2010=100, per capita","Individual consumption expenditure of general government","100.3"
"2009","Austria","Chain linked volumes, Index 2010=100, per capita","Collective consumption expenditure of general government","99.8"
"2009","Poland","Current prices, euro per capita","Gross domestic product at market prices","8,300"
"2009","Poland","Current prices, euro per capita","Final consumption expenditure","6,700"
"2009","Poland","Current prices, euro per capita","Final consumption expenditure of general government","1,600"
"2009","Poland","Current prices, euro per capita","Individual consumption expenditure of general government","800"
"2009","Poland","Current prices, euro per capita","Collective consumption expenditure of general government","700"
"2009","Poland","Current prices, units of national currency per capita","Gross domestic product at market prices","36,000"
"2009","Poland","Current prices, units of national currency per capita","Final consumption expenditure","28,900"
"2009","Poland","Current prices, units of national currency per capita","Final consumption expenditure of general government","6,700"
"2009","Poland","Current prices, units of national currency per capita","Individual consumption expenditure of general government","3,600"
"2009","Poland","Current prices, units of national currency per capita","Collective consumption expenditure of general government","3,100"
"2009","Poland","Current prices, PPS per capita","Gross domestic product at market prices","14,600"
"2009","Poland","Current prices, PPS per capita","Final consumption expenditure","11,800"
"2009","Poland","Current prices, PPS per capita","Final consumption expenditure of general government","2,700"
"2009","Poland","Current prices, PPS per capita","Individual consumption expenditure of general government","1,500"
"2009","Poland","Current prices, PPS per capita","Collective consumption expenditure of general government","1,300"
"2009","Poland","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","9,200"
"2009","Poland","Chain linked volumes (2010), euro per capita","Final consumption expenditure","7,400"
"2009","Poland","Chain linked volumes (2010), euro per capita","Final consumption expenditure of general government","1,800"
"2009","Poland","Chain linked volumes (2010), euro per capita","Individual consumption expenditure of general government","900"
"2009","Poland","Chain linked volumes (2010), euro per capita","Collective consumption expenditure of general government","800"
"2009","Poland","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices","97.4"
"2009","Poland","Chain linked volumes, Index 2010=100, per capita","Final consumption expenditure","98.2"
"2009","Poland","Chain linked volumes, Index 2010=100, per capita","Final consumption expenditure of general government","97.9"
"2009","Poland","Chain linked volumes, Index 2010=100, per capita","Individual consumption expenditure of general government","98.6"
"2009","Poland","Chain linked volumes, Index 2010=100, per capita","Collective consumption expenditure of general government","97.2"
"2009","Portugal","Current prices, euro per capita","Gross domestic product at market prices","16,600"
"2009","Portugal","Current prices, euro per capita","Final consumption expenditure","14,300"
"2009","Portugal","Current prices, euro per capita","Final consumption expenditure of general government","3,600"
"2009","Portugal","Current prices, euro per capita","Individual consumption expenditure of general government","2,000"
"2009","Portugal","Current prices, euro per capita","Collective consumption expenditure of general government","1,600"
"2009","Portugal","Current prices, units of national currency per capita","Gross domestic product at market prices","16,600"
"2009","Portugal","Current prices, units of national currency per capita","Final consumption expenditure","14,300"
"2009","Portugal","Current prices, units of national currency per capita","Final consumption expenditure of general government","3,600"
"2009","Portugal","Current prices, units of national currency per capita","Individual consumption expenditure of general government","2,000"
"2009","Portugal","Current prices, units of national currency per capita","Collective consumption expenditure of general government","1,600"
"2009","Portugal","Current prices, PPS per capita","Gross domestic product at market prices","20,100"
"2009","Portugal","Current prices, PPS per capita","Final consumption expenditure","17,300"
"2009","Portugal","Current prices, PPS per capita","Final consumption expenditure of general government","4,300"
"2009","Portugal","Current prices, PPS per capita","Individual consumption expenditure of general government","2,400"
"2009","Portugal","Current prices, PPS per capita","Collective consumption expenditure of general government","1,900"
"2009","Portugal","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","16,700"
"2009","Portugal","Chain linked volumes (2010), euro per capita","Final consumption expenditure","14,500"
"2009","Portugal","Chain linked volumes (2010), euro per capita","Final consumption expenditure of general government","3,600"
"2009","Portugal","Chain linked volumes (2010), euro per capita","Individual consumption expenditure of general government","2,000"
"2009","Portugal","Chain linked volumes (2010), euro per capita","Collective consumption expenditure of general government","1,600"
"2009","Portugal","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices","98.2"
"2009","Portugal","Chain linked volumes, Index 2010=100, per capita","Final consumption expenditure","98.6"
"2009","Portugal","Chain linked volumes, Index 2010=100, per capita","Final consumption expenditure of general government","101.4"
"2009","Portugal","Chain linked volumes, Index 2010=100, per capita","Individual consumption expenditure of general government","101.3"
"2009","Portugal","Chain linked volumes, Index 2010=100, per capita","Collective consumption expenditure of general government","101.5"
"2009","Romania","Current prices, euro per capita","Gross domestic product at market prices","5,900"
"2009","Romania","Current prices, euro per capita","Final consumption expenditure","4,700"
"2009","Romania","Current prices, euro per capita","Final consumption expenditure of general government","1,100"
"2009","Romania","Current prices, euro per capita","Individual consumption expenditure of general government","600"
"2009","Romania","Current prices, euro per capita","Collective consumption expenditure of general government","500"
"2009","Romania","Current prices, units of national currency per capita","Gross domestic product at market prices","25,100"
"2009","Romania","Current prices, units of national currency per capita","Final consumption expenditure","19,900"
"2009","Romania","Current prices, units of national currency per capita","Final consumption expenditure of general government","4,500"
"2009","Romania","Current prices, units of national currency per capita","Individual consumption expenditure of general government","2,400"
"2009","Romania","Current prices, units of national currency per capita","Collective consumption expenditure of general government","2,100"
"2009","Romania","Current prices, PPS per capita","Gross domestic product at market prices","12,200"
"2009","Romania","Current prices, PPS per capita","Final consumption expenditure","9,600"
"2009","Romania","Current prices, PPS per capita","Final consumption expenditure of general government","2,200"
"2009","Romania","Current prices, PPS per capita","Individual consumption expenditure of general government","1,200"
"2009","Romania","Current prices, PPS per capita","Collective consumption expenditure of general government","1,000"
"2009","Romania","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","6,300"
"2009","Romania","Chain linked volumes (2010), euro per capita","Final consumption expenditure","5,000"
"2009","Romania","Chain linked volumes (2010), euro per capita","Final consumption expenditure of general government","1,000"
"2009","Romania","Chain linked volumes (2010), euro per capita","Individual consumption expenditure of general government","500"
"2009","Romania","Chain linked volumes (2010), euro per capita","Collective consumption expenditure of general government","500"
"2009","Romania","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices","100.2"
"2009","Romania","Chain linked volumes, Index 2010=100, per capita","Final consumption expenditure","99.8"
"2009","Romania","Chain linked volumes, Index 2010=100, per capita","Final consumption expenditure of general government","104.5"
"2009","Romania","Chain linked volumes, Index 2010=100, per capita","Individual consumption expenditure of general government","97.8"
"2009","Romania","Chain linked volumes, Index 2010=100, per capita","Collective consumption expenditure of general government","113.4"
"2009","Slovenia","Current prices, euro per capita","Gross domestic product at market prices","17,700"
"2009","Slovenia","Current prices, euro per capita","Final consumption expenditure","13,200"
"2009","Slovenia","Current prices, euro per capita","Final consumption expenditure of general government","3,600"
"2009","Slovenia","Current prices, euro per capita","Individual consumption expenditure of general government","2,100"
"2009","Slovenia","Current prices, euro per capita","Collective consumption expenditure of general government","1,500"
"2009","Slovenia","Current prices, units of national currency per capita","Gross domestic product at market prices","17,700"
"2009","Slovenia","Current prices, units of national currency per capita","Final consumption expenditure","13,200"
"2009","Slovenia","Current prices, units of national currency per capita","Final consumption expenditure of general government","3,600"
"2009","Slovenia","Current prices, units of national currency per capita","Individual consumption expenditure of general government","2,100"
"2009","Slovenia","Current prices, units of national currency per capita","Collective consumption expenditure of general government","1,500"
"2009","Slovenia","Current prices, PPS per capita","Gross domestic product at market prices","20,900"
"2009","Slovenia","Current prices, PPS per capita","Final consumption expenditure","15,600"
"2009","Slovenia","Current prices, PPS per capita","Final consumption expenditure of general government","4,200"
"2009","Slovenia","Current prices, PPS per capita","Individual consumption expenditure of general government","2,500"
"2009","Slovenia","Current prices, PPS per capita","Collective consumption expenditure of general government","1,700"
"2009","Slovenia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","17,500"
"2009","Slovenia","Chain linked volumes (2010), euro per capita","Final consumption expenditure","13,400"
"2009","Slovenia","Chain linked volumes (2010), euro per capita","Final consumption expenditure of general government","3,600"
"2009","Slovenia","Chain linked volumes (2010), euro per capita","Individual consumption expenditure of general government","2,100"
"2009","Slovenia","Chain linked volumes (2010), euro per capita","Collective consumption expenditure of general government","1,500"
"2009","Slovenia","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices","99.1"
"2009","Slovenia","Chain linked volumes, Index 2010=100, per capita","Final consumption expenditure","99.6"
"2009","Slovenia","Chain linked volumes, Index 2010=100, per capita","Final consumption expenditure of general government","100.9"
"2009","Slovenia","Chain linked volumes, Index 2010=100, per capita","Individual consumption expenditure of general government","99.6"
"2009","Slovenia","Chain linked volumes, Index 2010=100, per capita","Collective consumption expenditure of general government","102.7"
"2009","Slovakia","Current prices, euro per capita","Gross domestic product at market prices","11,800"
"2009","Slovakia","Current prices, euro per capita","Final consumption expenditure","9,500"
"2009","Slovakia","Current prices, euro per capita","Final consumption expenditure of general government","2,400"
"2009","Slovakia","Current prices, euro per capita","Individual consumption expenditure of general government","1,100"
"2009","Slovakia","Current prices, euro per capita","Collective consumption expenditure of general government","1,300"
"2009","Slovakia","Current prices, units of national currency per capita","Gross domestic product at market prices","11,800"
"2009","Slovakia","Current prices, units of national currency per capita","Final consumption expenditure","9,500"
"2009","Slovakia","Current prices, units of national currency per capita","Final consumption expenditure of general government","2,400"
"2009","Slovakia","Current prices, units of national currency per capita","Individual consumption expenditure of general government","1,100"
"2009","Slovakia","Current prices, units of national currency per capita","Collective consumption expenditure of general government","1,300"
"2009","Slovakia","Current prices, PPS per capita","Gross domestic product at market prices","17,400"
"2009","Slovakia","Current prices, PPS per capita","Final consumption expenditure","14,000"
"2009","Slovakia","Current prices, PPS per capita","Final consumption expenditure of general government","3,500"
"2009","Slovakia","Current prices, PPS per capita","Individual consumption expenditure of general government","1,600"
"2009","Slovakia","Current prices, PPS per capita","Collective consumption expenditure of general government","1,900"
"2009","Slovakia","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","11,900"
"2009","Slovakia","Chain linked volumes (2010), euro per capita","Final consumption expenditure","9,600"
"2009","Slovakia","Chain linked volumes (2010), euro per capita","Final consumption expenditure of general government","2,400"
"2009","Slovakia","Chain linked volumes (2010), euro per capita","Individual consumption expenditure of general government","1,100"
"2009","Slovakia","Chain linked volumes (2010), euro per capita","Collective consumption expenditure of general government","1,300"
"2009","Slovakia","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices","95.4"
"2009","Slovakia","Chain linked volumes, Index 2010=100, per capita","Final consumption expenditure","99.5"
"2009","Slovakia","Chain linked volumes, Index 2010=100, per capita","Final consumption expenditure of general government","98.6"
"2009","Slovakia","Chain linked volumes, Index 2010=100, per capita","Individual consumption expenditure of general government","98.1"
"2009","Slovakia","Chain linked volumes, Index 2010=100, per capita","Collective consumption expenditure of general government","99.0"
"2009","Finland","Current prices, euro per capita","Gross domestic product at market prices","33,900"
"2009","Finland","Current prices, euro per capita","Final consumption expenditure","26,000"
"2009","Finland","Current prices, euro per capita","Final consumption expenditure of general government","8,200"
"2009","Finland","Current prices, euro per capita","Individual consumption expenditure of general government","5,400"
"2009","Finland","Current prices, euro per capita","Collective consumption expenditure of general government","2,800"
"2009","Finland","Current prices, units of national currency per capita","Gross domestic product at market prices","33,900"
"2009","Finland","Current prices, units of national currency per capita","Final consumption expenditure","26,000"
"2009","Finland","Current prices, units of national currency per capita","Final consumption expenditure of general government","8,200"
"2009","Finland","Current prices, units of national currency per capita","Individual consumption expenditure of general government","5,400"
"2009","Finland","Current prices, units of national currency per capita","Collective consumption expenditure of general government","2,800"
"2009","Finland","Current prices, PPS per capita","Gross domestic product at market prices","28,800"
"2009","Finland","Current prices, PPS per capita","Final consumption expenditure","22,100"
"2009","Finland","Current prices, PPS per capita","Final consumption expenditure of general government","7,000"
"2009","Finland","Current prices, PPS per capita","Individual consumption expenditure of general government","4,600"
"2009","Finland","Current prices, PPS per capita","Collective consumption expenditure of general government","2,400"
"2009","Finland","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","34,000"
"2009","Finland","Chain linked volumes (2010), euro per capita","Final consumption expenditure","26,500"
"2009","Finland","Chain linked volumes (2010), euro per capita","Final consumption expenditure of general government","8,400"
"2009","Finland","Chain linked volumes (2010), euro per capita","Individual consumption expenditure of general government","5,500"
"2009","Finland","Chain linked volumes (2010), euro per capita","Collective consumption expenditure of general government","2,800"
"2009","Finland","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices","97.5"
"2009","Finland","Chain linked volumes, Index 2010=100, per capita","Final consumption expenditure","98.4"
"2009","Finland","Chain linked volumes, Index 2010=100, per capita","Final consumption expenditure of general government","100.6"
"2009","Finland","Chain linked volumes, Index 2010=100, per capita","Individual consumption expenditure of general government","100.1"
"2009","Finland","Chain linked volumes, Index 2010=100, per capita","Collective consumption expenditure of general government","101.6"
"2009","Sweden","Current prices, euro per capita","Gross domestic product at market prices","33,300"
"2009","Sweden","Current prices, euro per capita","Final consumption expenditure","24,400"
"2009","Sweden","Current prices, euro per capita","Final consumption expenditure of general government","8,700"
"2009","Sweden","Current prices, euro per capita","Individual consumption expenditure of general government","6,300"
"2009","Sweden","Current prices, euro per capita","Collective consumption expenditure of general government","2,400"
"2009","Sweden","Current prices, units of national currency per capita","Gross domestic product at market prices","353,700"
"2009","Sweden","Current prices, units of national currency per capita","Final consumption expenditure","259,300"
"2009","Sweden","Current prices, units of national currency per capita","Final consumption expenditure of general government","92,500"
"2009","Sweden","Current prices, units of national currency per capita","Individual consumption expenditure of general government","66,900"
"2009","Sweden","Current prices, units of national currency per capita","Collective consumption expenditure of general government","25,700"
"2009","Sweden","Current prices, PPS per capita","Gross domestic product at market prices","30,200"
"2009","Sweden","Current prices, PPS per capita","Final consumption expenditure","22,100"
"2009","Sweden","Current prices, PPS per capita","Final consumption expenditure of general government","7,900"
"2009","Sweden","Current prices, PPS per capita","Individual consumption expenditure of general government","5,700"
"2009","Sweden","Current prices, PPS per capita","Collective consumption expenditure of general government","2,200"
"2009","Sweden","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","37,400"
"2009","Sweden","Chain linked volumes (2010), euro per capita","Final consumption expenditure","27,600"
"2009","Sweden","Chain linked volumes (2010), euro per capita","Final consumption expenditure of general government","9,900"
"2009","Sweden","Chain linked volumes (2010), euro per capita","Individual consumption expenditure of general government","7,100"
"2009","Sweden","Chain linked volumes (2010), euro per capita","Collective consumption expenditure of general government","2,700"
"2009","Sweden","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices","95.2"
"2009","Sweden","Chain linked volumes, Index 2010=100, per capita","Final consumption expenditure","97.9"
"2009","Sweden","Chain linked volumes, Index 2010=100, per capita","Final consumption expenditure of general government","99.5"
"2009","Sweden","Chain linked volumes, Index 2010=100, per capita","Individual consumption expenditure of general government","99.8"
"2009","Sweden","Chain linked volumes, Index 2010=100, per capita","Collective consumption expenditure of general government","98.8"
"2009","United Kingdom","Current prices, euro per capita","Gross domestic product at market prices","27,400"
"2009","United Kingdom","Current prices, euro per capita","Final consumption expenditure","24,000"
"2009","United Kingdom","Current prices, euro per capita","Final consumption expenditure of general government","6,000"
"2009","United Kingdom","Current prices, euro per capita","Individual consumption expenditure of general government","3,700"
"2009","United Kingdom","Current prices, euro per capita","Collective consumption expenditure of general government","2,300"
"2009","United Kingdom","Current prices, units of national currency per capita","Gross domestic product at market prices","24,400"
"2009","United Kingdom","Current prices, units of national currency per capita","Final consumption expenditure","21,400"
"2009","United Kingdom","Current prices, units of national currency per capita","Final consumption expenditure of general government","5,300"
"2009","United Kingdom","Current prices, units of national currency per capita","Individual consumption expenditure of general government","3,300"
"2009","United Kingdom","Current prices, units of national currency per capita","Collective consumption expenditure of general government","2,000"
"2009","United Kingdom","Current prices, PPS per capita","Gross domestic product at market prices","26,200"
"2009","United Kingdom","Current prices, PPS per capita","Final consumption expenditure","22,900"
"2009","United Kingdom","Current prices, PPS per capita","Final consumption expenditure of general government","5,700"
"2009","United Kingdom","Current prices, PPS per capita","Individual consumption expenditure of general government","3,500"
"2009","United Kingdom","Current prices, PPS per capita","Collective consumption expenditure of general government","2,200"
"2009","United Kingdom","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","28,900"
"2009","United Kingdom","Chain linked volumes (2010), euro per capita","Final consumption expenditure","25,400"
"2009","United Kingdom","Chain linked volumes (2010), euro per capita","Final consumption expenditure of general government","6,300"
"2009","United Kingdom","Chain linked volumes (2010), euro per capita","Individual consumption expenditure of general government","3,900"
"2009","United Kingdom","Chain linked volumes (2010), euro per capita","Collective consumption expenditure of general government","2,400"
"2009","United Kingdom","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices","98.9"
"2009","United Kingdom","Chain linked volumes, Index 2010=100, per capita","Final consumption expenditure","100.3"
"2009","United Kingdom","Chain linked volumes, Index 2010=100, per capita","Final consumption expenditure of general government","100.6"
"2009","United Kingdom","Chain linked volumes, Index 2010=100, per capita","Individual consumption expenditure of general government","99.5"
"2009","United Kingdom","Chain linked volumes, Index 2010=100, per capita","Collective consumption expenditure of general government","102.5"
"2009","Iceland","Current prices, euro per capita","Gross domestic product at market prices","28,900"
"2009","Iceland","Current prices, euro per capita","Final consumption expenditure","22,000"
"2009","Iceland","Current prices, euro per capita","Final consumption expenditure of general government","7,200"
"2009","Iceland","Current prices, euro per capita","Individual consumption expenditure of general government","4,700"
"2009","Iceland","Current prices, euro per capita","Collective consumption expenditure of general government","2,500"
"2009","Iceland","Current prices, units of national currency per capita","Gross domestic product at market prices","4,990,900"
"2009","Iceland","Current prices, units of national currency per capita","Final consumption expenditure","3,800,100"
"2009","Iceland","Current prices, units of national currency per capita","Final consumption expenditure of general government","1,237,000"
"2009","Iceland","Current prices, units of national currency per capita","Individual consumption expenditure of general government","803,900"
"2009","Iceland","Current prices, units of national currency per capita","Collective consumption expenditure of general government","433,200"
"2009","Iceland","Current prices, PPS per capita","Gross domestic product at market prices","31,100"
"2009","Iceland","Current prices, PPS per capita","Final consumption expenditure","23,700"
"2009","Iceland","Current prices, PPS per capita","Final consumption expenditure of general government","7,700"
"2009","Iceland","Current prices, PPS per capita","Individual consumption expenditure of general government","5,000"
"2009","Iceland","Current prices, PPS per capita","Collective consumption expenditure of general government","2,700"
"2009","Iceland","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","32,500"
"2009","Iceland","Chain linked volumes (2010), euro per capita","Final consumption expenditure","24,100"
"2009","Iceland","Chain linked volumes (2010), euro per capita","Final consumption expenditure of general government","8,000"
"2009","Iceland","Chain linked volumes (2010), euro per capita","Individual consumption expenditure of general government",":"
"2009","Iceland","Chain linked volumes (2010), euro per capita","Collective consumption expenditure of general government",":"
"2009","Iceland","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices","103.3"
"2009","Iceland","Chain linked volumes, Index 2010=100, per capita","Final consumption expenditure","101.0"
"2009","Iceland","Chain linked volumes, Index 2010=100, per capita","Final consumption expenditure of general government","103.5"
"2009","Iceland","Chain linked volumes, Index 2010=100, per capita","Individual consumption expenditure of general government",":"
"2009","Iceland","Chain linked volumes, Index 2010=100, per capita","Collective consumption expenditure of general government",":"
"2009","Liechtenstein","Current prices, euro per capita","Gross domestic product at market prices",":"
"2009","Liechtenstein","Current prices, euro per capita","Final consumption expenditure",":"
"2009","Liechtenstein","Current prices, euro per capita","Final consumption expenditure of general government",":"
"2009","Liechtenstein","Current prices, euro per capita","Individual consumption expenditure of general government",":"
"2009","Liechtenstein","Current prices, euro per capita","Collective consumption expenditure of general government",":"
"2009","Liechtenstein","Current prices, units of national currency per capita","Gross domestic product at market prices",":"
"2009","Liechtenstein","Current prices, units of national currency per capita","Final consumption expenditure",":"
"2009","Liechtenstein","Current prices, units of national currency per capita","Final consumption expenditure of general government",":"
"2009","Liechtenstein","Current prices, units of national currency per capita","Individual consumption expenditure of general government",":"
"2009","Liechtenstein","Current prices, units of national currency per capita","Collective consumption expenditure of general government",":"
"2009","Liechtenstein","Current prices, PPS per capita","Gross domestic product at market prices",":"
"2009","Liechtenstein","Current prices, PPS per capita","Final consumption expenditure",":"
"2009","Liechtenstein","Current prices, PPS per capita","Final consumption expenditure of general government",":"
"2009","Liechtenstein","Current prices, PPS per capita","Individual consumption expenditure of general government",":"
"2009","Liechtenstein","Current prices, PPS per capita","Collective consumption expenditure of general government",":"
"2009","Liechtenstein","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices",":"
"2009","Liechtenstein","Chain linked volumes (2010), euro per capita","Final consumption expenditure",":"
"2009","Liechtenstein","Chain linked volumes (2010), euro per capita","Final consumption expenditure of general government",":"
"2009","Liechtenstein","Chain linked volumes (2010), euro per capita","Individual consumption expenditure of general government",":"
"2009","Liechtenstein","Chain linked volumes (2010), euro per capita","Collective consumption expenditure of general government",":"
"2009","Liechtenstein","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices",":"
"2009","Liechtenstein","Chain linked volumes, Index 2010=100, per capita","Final consumption expenditure",":"
"2009","Liechtenstein","Chain linked volumes, Index 2010=100, per capita","Final consumption expenditure of general government",":"
"2009","Liechtenstein","Chain linked volumes, Index 2010=100, per capita","Individual consumption expenditure of general government",":"
"2009","Liechtenstein","Chain linked volumes, Index 2010=100, per capita","Collective consumption expenditure of general government",":"
"2009","Norway","Current prices, euro per capita","Gross domestic product at market prices","57,600"
"2009","Norway","Current prices, euro per capita","Final consumption expenditure","36,800"
"2009","Norway","Current prices, euro per capita","Final consumption expenditure of general government","12,500"
"2009","Norway","Current prices, euro per capita","Individual consumption expenditure of general government","8,400"
"2009","Norway","Current prices, euro per capita","Collective consumption expenditure of general government","4,100"
"2009","Norway","Current prices, units of national currency per capita","Gross domestic product at market prices","503,100"
"2009","Norway","Current prices, units of national currency per capita","Final consumption expenditure","321,600"
"2009","Norway","Current prices, units of national currency per capita","Final consumption expenditure of general government","109,100"
"2009","Norway","Current prices, units of national currency per capita","Individual consumption expenditure of general government","73,700"
"2009","Norway","Current prices, units of national currency per capita","Collective consumption expenditure of general government","35,400"
"2009","Norway","Current prices, PPS per capita","Gross domestic product at market prices","42,100"
"2009","Norway","Current prices, PPS per capita","Final consumption expenditure","26,900"
"2009","Norway","Current prices, PPS per capita","Final consumption expenditure of general government","9,100"
"2009","Norway","Current prices, PPS per capita","Individual consumption expenditure of general government","6,200"
"2009","Norway","Current prices, PPS per capita","Collective consumption expenditure of general government","3,000"
"2009","Norway","Chain linked volumes (2010), euro per capita","Gross domestic product at market prices","66,600"
"2009","Norway","Chain linked volumes (2010), euro per capita","Final consumption expenditure","41,200"
"2009","Norway","Chain linked volumes (2010), euro per capita","Final consumption expenditure of general government","14,100"
"2009","Norway","Chain linked volumes (2010), euro per capita","Individual consumption expenditure of general government","9,500"
"2009","Norway","Chain linked volumes (2010), euro per capita","Collective consumption expenditure of general government","4,500"
"2009","Norway","Chain linked volumes, Index 2010=100, per capita","Gross domestic product at market prices","100.6"
"2009","Norway","Chain linked volumes, Index 2010=100, per capita","Final consumption expenditure","98.1"
"2009","Norway","Chain linked volumes, Index 2010=100, per capita","Final consumption expenditure of general government","99.1"
"2009","Norway","Chain linked volumes, Index 2010=100, per capita","Individual consumption expenditure of general government","99.0"
"2009","Norway","Chain linked volumes, Index 2010=100, per capita","Collective consumption expenditure of general government","99.3"
"2009","Switzerland","Current prices, euro per capita","Gross domestic product at market prices","50,000"
"2009","Switzerland","Current prices, euro per capita","Final consumption expenditure","33,000"
"2009","Switzerland","Current prices, euro per capita","Final consumption expenditure of general government","5,400"
"2009","Switzerland","Current prices, euro per capita","Individual consumption expenditure of general government","3,100"
"2009","Switzerland","Current prices, euro per capita","Collective consumption expenditure of general government","2,400"
"2009","Switzerland","Current prices, units of national currency per capita","Gross domestic product at market prices","75,500"
"2009","Switzerland","Current prices, units of national currency per capita","Final consumption expenditure","49,900"
"2009","Switzerland","Current prices, units of national currency per capita","Final consumption expenditure of general government","8,200"
"2009","Switzerland","Current prices, units of national currency per capita","Individual consumption expenditure of general government","4,600"
"2009","Switzerland","Current prices, units of national currency per capita","Collective consumption expenditure of general government","3,600"
"2009","Switzerland","Current prices, PPS per capita","Gross domestic product at market prices","39,100"
"2009","Switzerland","Current prices, PPS per capita","Final consumption expenditure","25,800"
"2009","Switzerland","Current prices, PPS per capita","Final consumption expenditure of general government","4,300"
